GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyFirstMicroservice,com.tsi.lerai.foulkes.program.repoandobj.filmcategorys,FilmCategory,14,3,0,0,6,1,4,1,4,1
MyFirstMicroservice,com.tsi.lerai.foulkes.program,ErFunctionality,13,0,0,0,3,0,2,0,2,0
MyFirstMicroservice,com.tsi.lerai.foulkes.program,MyFirstMicroserviceApplication,5,6,0,0,2,3,1,1,1,1
MyFirstMicroservice,com.tsi.lerai.foulkes.program.repoandobj.filmactors,FilmActor,20,3,0,0,9,1,5,1,5,1
MyFirstMicroservice,com.tsi.lerai.foulkes.program.repoandobj.staff,Staff,35,3,0,0,15,1,10,1,10,1
MyFirstMicroservice,com.tsi.lerai.foulkes.program.repoandobj,CompleteRepo,73,0,0,0,31,0,21,0,21,0
MyFirstMicroservice,com.tsi.lerai.foulkes.program.repoandobj.inventory,Inventory,21,3,0,0,9,1,6,1,6,1
MyFirstMicroservice,com.tsi.lerai.foulkes.program.repoandobj.store,Store,21,3,0,0,9,1,6,1,6,1
MyFirstMicroservice,com.tsi.lerai.foulkes.program.repoandobj.payment,Payment,42,3,0,0,18,1,12,1,12,1
MyFirstMicroservice,com.tsi.lerai.foulkes.program.controller,ActorController,49,59,10,4,10,14,7,7,2,5
MyFirstMicroservice,com.tsi.lerai.foulkes.program.controller,MovieController,50,0,4,0,11,0,6,0,4,0
MyFirstMicroservice,com.tsi.lerai.foulkes.program.controller,InventoryController,5,6,0,0,1,1,1,1,1,1
MyFirstMicroservice,com.tsi.lerai.foulkes.program.controller,PaymentController,5,6,0,0,1,3,1,1,1,1
MyFirstMicroservice,com.tsi.lerai.foulkes.program.controller,CompleteController,143,0,0,0,39,0,19,0,19,0
MyFirstMicroservice,com.tsi.lerai.foulkes.program.controller,StaffController,5,6,0,0,1,1,1,1,1,1
MyFirstMicroservice,com.tsi.lerai.foulkes.program.controller,FilmActorController,5,6,0,0,1,1,1,1,1,1
MyFirstMicroservice,com.tsi.lerai.foulkes.program.controller,CategoryController,21,0,0,0,4,0,3,0,3,0
MyFirstMicroservice,com.tsi.lerai.foulkes.program.controller,FilmCategoryController,11,0,0,0,2,0,2,0,2,0
MyFirstMicroservice,com.tsi.lerai.foulkes.program.controller,StoreController,5,6,0,0,1,1,1,1,1,1
MyFirstMicroservice,com.tsi.lerai.foulkes.program.repoandobj.movies,Movie,106,0,0,0,45,0,28,0,28,0
MyFirstMicroservice,com.tsi.lerai.foulkes.program.repoandobj.actor,Actor,8,25,0,0,4,10,2,6,2,6
MyFirstMicroservice,com.tsi.lerai.foulkes.program.repoandobj.category,Category,23,0,0,0,10,0,6,0,6,0
MyFirstMicroservice,com.tsi.lerai.foulkes.program.repoandobj.customer,Customer,101,0,0,0,42,0,24,0,24,0
